
=== TestCase6 case6\fail2\basic-2 Fail execution 2 ===
{traceId=3720c18fcff05c62, spanId=3720c18fcff05c62, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=sr, parentId=, timestamp=1516796087577000, }
{traceId=3720c18fcff05c62, spanId=8366e7e8913d445a, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3720c18fcff05c62, timestamp=1516796087582000, }
{traceId=3720c18fcff05c62, spanId=8366e7e8913d445a, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=3720c18fcff05c62, timestamp=1516796087584500, }
{traceId=3720c18fcff05c62, spanId=8366e7e8913d445a, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=3720c18fcff05c62, timestamp=1516796087589500, }
{traceId=3720c18fcff05c62, spanId=8366e7e8913d445a, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cr, parentId=3720c18fcff05c62, timestamp=1516796087592000, }
{traceId=3720c18fcff05c62, spanId=6f0b3de67378cf5c, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.preserve, type=cs, parentId=3720c18fcff05c62, timestamp=1516796087594000, }
{traceId=3720c18fcff05c62, spanId=6f0b3de67378cf5c, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=3720c18fcff05c62, timestamp=1516796087603500, }
{traceId=3720c18fcff05c62, spanId=09312bb7d43f5910, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=6f0b3de67378cf5c, timestamp=1516796087608500, }
{traceId=3720c18fcff05c62, spanId=09312bb7d43f5910, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=6f0b3de67378cf5c, timestamp=1516796087612500, }
{traceId=3720c18fcff05c62, spanId=09312bb7d43f5910, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=6f0b3de67378cf5c, timestamp=1516796087621500, }
{traceId=3720c18fcff05c62, spanId=09312bb7d43f5910, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=6f0b3de67378cf5c, timestamp=1516796087625500, }
{traceId=3720c18fcff05c62, spanId=b91631088a6c1f6d, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=6f0b3de67378cf5c, timestamp=1516796087628500, }
{traceId=3720c18fcff05c62, spanId=b91631088a6c1f6d, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=6f0b3de67378cf5c, timestamp=1516796087631500, }
{traceId=3720c18fcff05c62, spanId=b91631088a6c1f6d, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=6f0b3de67378cf5c, timestamp=1516796087637500, }
{traceId=3720c18fcff05c62, spanId=b91631088a6c1f6d, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=6f0b3de67378cf5c, timestamp=1516796087640500, }
