
=== TestCase10 case10\fail1\basic Fail execution 1 ===
{traceId=43dc80943d2575da, spanId=43dc80943d2575da, hostName=ts-preserve-other-service, srcName=null, src=null, host=ts-preserve-other-service, clock={"ts-preserve-other-service":1}, event=ts-preserve-other-service.PreserveOtherController.error, type=sr, error=Request processing failed; nested exception is java.lang.RuntimeException: [Normal Error] Reproduction Of Error Normal, parentId=, timestamp=1516880380163000, }
{traceId=43dc80943d2575da, spanId=aa846acb17780fd0, hostName=ts-preserve-other-service, destName=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":2}, dest=ts-sso-service, event=ts-preserve-other-service.PreserveOtherController.error, type=cs, parentId=43dc80943d2575da, timestamp=1516880380166000, }
{traceId=43dc80943d2575da, spanId=aa846acb17780fd0, hostName=ts-sso-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":1}, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=sr, parentId=43dc80943d2575da, timestamp=1516880380167500, }
{traceId=43dc80943d2575da, spanId=aa846acb17780fd0, hostName=ts-sso-service, destName=ts-preserve-other-service, host=ts-sso-service, clock={"ts-preserve-other-service":2,"ts-sso-service":2}, dest=ts-preserve-other-service, event=ts-sso-service.AccountSsoController.verifyLoginToken, type=ss, parentId=43dc80943d2575da, timestamp=1516880380171500, }
{traceId=43dc80943d2575da, spanId=aa846acb17780fd0, hostName=ts-preserve-other-service, srcName=ts-sso-service, src=ts-sso-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":3,"ts-sso-service":2}, event=ts-preserve-other-service.PreserveOtherController.error, type=cr, parentId=43dc80943d2575da, timestamp=1516880380173000, }
{traceId=43dc80943d2575da, spanId=61be3e0ffbe4c732, hostName=ts-preserve-other-service, destName=ts-security-service, host=ts-preserve-other-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2}, dest=ts-security-service, event=ts-preserve-other-service.PreserveOtherController.error, type=cs, parentId=43dc80943d2575da, timestamp=1516880380174000, }
{traceId=43dc80943d2575da, spanId=61be3e0ffbe4c732, hostName=ts-security-service, srcName=ts-preserve-other-service, src=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":1}, event=ts-security-service.SecurityController.check, type=sr, parentId=43dc80943d2575da, timestamp=1516880380175500, }
{traceId=43dc80943d2575da, spanId=91477b82269cfc3c, hostName=ts-security-service, destName=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-sso-service":2,"ts-security-service":2}, dest=ts-order-service, event=ts-security-service.SecurityController.check, type=cs, parentId=61be3e0ffbe4c732, timestamp=1516880380178500, }
{traceId=43dc80943d2575da, spanId=91477b82269cfc3c, hostName=ts-order-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":1,"ts-sso-service":2,"ts-security-service":2}, event=ts-order-service.OrderController.securityInfoCheck, type=sr, parentId=61be3e0ffbe4c732, timestamp=1516880380180000, }
{traceId=43dc80943d2575da, spanId=91477b82269cfc3c, hostName=ts-order-service, destName=ts-security-service, host=ts-order-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":2}, dest=ts-security-service, event=ts-order-service.OrderController.securityInfoCheck, type=ss, parentId=61be3e0ffbe4c732, timestamp=1516880380186000, }
{traceId=43dc80943d2575da, spanId=91477b82269cfc3c, hostName=ts-security-service, srcName=ts-order-service, src=ts-order-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":3}, event=ts-security-service.SecurityController.check, type=cr, parentId=61be3e0ffbe4c732, timestamp=1516880380187500, }
{traceId=43dc80943d2575da, spanId=8bd50257997a87ac, hostName=ts-security-service, destName=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4}, dest=ts-order-other-service, event=ts-security-service.SecurityController.check, type=cs, parentId=61be3e0ffbe4c732, timestamp=1516880380189500, }
{traceId=43dc80943d2575da, spanId=8bd50257997a87ac, hostName=ts-order-other-service, srcName=ts-security-service, src=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":1}, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=sr, parentId=61be3e0ffbe4c732, timestamp=1516880380191500, }
{traceId=43dc80943d2575da, spanId=8bd50257997a87ac, hostName=ts-order-other-service, destName=ts-security-service, host=ts-order-other-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":4,"ts-order-other-service":2}, dest=ts-security-service, event=ts-order-other-service.OrderOtherController.securityInfoCheck, type=ss, parentId=61be3e0ffbe4c732, timestamp=1516880380199500, }
{traceId=43dc80943d2575da, spanId=8bd50257997a87ac, hostName=ts-security-service, srcName=ts-order-other-service, src=ts-order-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":5,"ts-order-other-service":2}, event=ts-security-service.SecurityController.check, type=cr, parentId=61be3e0ffbe4c732, timestamp=1516880380201500, }
{traceId=43dc80943d2575da, spanId=61be3e0ffbe4c732, hostName=ts-security-service, destName=ts-preserve-other-service, host=ts-security-service, clock={"ts-preserve-other-service":4,"ts-order-service":2,"ts-sso-service":2,"ts-security-service":6,"ts-order-other-service":2}, dest=ts-preserve-other-service, event=ts-security-service.SecurityController.check, type=ss, parentId=43dc80943d2575da, timestamp=1516880380208500, }
